Competency Question
What anatomical structures compose the flap?
What is the size of the flap?
To which vessels is the flap connected?
What is the Mathes and Nahai classification of the muscle flap?
What is the Nakajima24 classification of the flap?
Is the flap local, regional or distant?
Is the flap pedicled or free?
Is it a random pattern or an axial or perforator flap?
Is it a chimeric flap?
What is the arterial flow direction e.g. reversed flow or flow through flap?
Is it a rotational, advancement or transpositional flap?
Is it an island flap?
How was the insertion site prepared?
Was the flap modified before harvesting?
Did the flap require split-thickness skin grafting?
How was vessel anastomosis performed?
Did the flap fully survive?
